fecha,titulo,sumario,enlace,fuente
01/12/2024,¡Aliste paraguas! la primera semana de diciembre comenzará con lluvias en Santa Cruz,"De acuerdo con el experto Luis Alpire, a partir de mañana se suscitará lluvias de moderadas a fuertes",https://eldeber.com.bo/santa-cruz/aliste-paraguas-la-primera-semana-de-diciembre-comenzara-con-lluvias-en-santa-cruz_393854,eldeber
01/12/2024,Wilstermann derrotó (0-1) en los descuentos a Real Tomayapo en Tarija,El equipo aviador sumó tres puntos clave para sus pretensiones de meterse en zona de clasificación para la Copa Sudamericana. Jugaron en el estadio IV Centenario de Tarija,https://eldeber.com.bo/futbol/wilstermann-derroto-0-1-en-los-descuentos-a-real-tomayapo-en-tarija_393853,eldeber
01/12/2024,"Boliviano Santiago Lora, doble campeón en el Arequipa Open de tenis",Logró el título tanto en singles como en dobles de la categoría sub-18 en el torneo que es parte del ITF World Tennis Tour Juniors,https://eldeber.com.bo/tenis/boliviano-santiago-lora-doble-campeon-en-el-arequipa-open-de-tenis_393851,eldeber
01/12/2024,Gobernación destaca la cultura viva de San Javier e invita a participar de su 333° aniversario,"En el marco de los '200 Años Siempre Libres"", la Feria del Libro y la Biblioteca Departamental concitaron la atención con los juegos didácticos de Santa Cruz.",https://eldeber.com.bo/gobernacion/gobernacion-destaca-la-cultura-viva-de-san-javier-e-invita-a-participar-de-su-3330-aniversario_393849,eldeber
01/12/2024,"Guarayos: Primer encuentro de negocios forestales genera intenciones comerciales por $us 4,8 millones","El evento reunió a 38 empresas entre nacionales, internacionales y representantes de asociaciones forestales indígenas en 245 citas de negocios",https://eldeber.com.bo/economia/guarayos-primer-encuentro-de-negocios-forestales-genera-intenciones-comerciales-por-us-48-millones_393850,eldeber
01/12/2024,The Strongest se impuso (0-2) en su visita a Independiente y no pierde de vista al líder,"El partido se jugó en el estadio Patria de Sucre. El equipo atigrado es segundo en el torneo Clausura y sigue al acecho de Bolívar, que es puntero ",https://eldeber.com.bo/futbol/the-strongest-se-impuso-0-2-en-su-visita-a-independiente-y-no-pierde-de-vista-al-lider_393848,eldeber
01/12/2024,Celebran misa en Los Pozos a nueve días del asesinato del libre cambista,"La misa se celebró frente al árbol cupesí, en el mismo lugar donde se sentaba Samuel Campos en su sillón a cambiar dólares",https://eldeber.com.bo/santa-cruz/celebran-misa-en-los-pozos-a-nueve-dias-del-asesinato-del-libre-cambista_393841,eldeber
01/12/2024,"A dos semanas de las judiciales parciales, asambleístas de CC instan al “voto nulo”","Los diputados de la bancada de CC, Carlos Alarcón y Miguel Roca, afirman que votar nulo es rechazar el “manoseo” de la Justicia. Para ellos es una “elección inconstitucional” ",https://eldeber.com.bo//a-dos-semanas-de-las-judiciales-parciales-asambleistas-de-cc-instan-al-voto-nulo_393843,eldeber
01/12/2024,"ABB, campeón de la Copa Simón Bolívar y asciende a la División Profesional","El equipo paceño goleó a Totora Real Oruro por 3-0 en la segunda final del torneo, que se jugó en el estadio de Villa Ingenio en El Alto. En la ida habían ganado los orureños por 2-0",https://eldeber.com.bo/futbol/abb-campeon-de-la-copa-simon-bolivar-y-asciende-a-la-division-profesional_393847,eldeber
01/12/2024,"Seis empresas muestran interés para importar y vender combustibles, pero solo dos presentan documentos ",Para la comercialización de gasolinas y diésel el empresariado privado debe cumplir al menos seis requisitos,https://eldeber.com.bo/economia/seis-empresas-muestran-interes-para-importar-y-vender-combustibles-pero-solo-dos-presentan-documento_393846,eldeber
